pool	path	rows	sha256	definition
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr17.tsv.gz	132415	c99f8d51b6c68161b2c8be8954dee5de8273c91132c3fdb50eff4af73ff34490	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr17.matched.tsv.gz	1002	9e4692e6bd009e3e58c8cb5212603c2b1025e4bf166ce3722144eea50745c725	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr17.hard.tsv.gz	58257	8d5fc87830a9fcdc36e84f4c31b9619accf8a29a686c77ad9c333ae9974a61df	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr18.tsv.gz	21722	cc2a4d0202c04640a8785c899a6f5e0771a9ae5c8d5666897ef5e83f5691cb2e	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr18.matched.tsv.gz	138	18c2f5739014f2a0c0adf759e990ce5e23d8e8b84ab3825f1acefcf573af53eb	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr18.hard.tsv.gz	10533	6e99b8f592f3d57ac7ab660fdc838dcc3831f88b8a1bcf15e7698de2af1c997e	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr19.tsv.gz	123521	f46a28d00dd7372cc972e338951b90b04861cbfb42e91abeb32b85ca9af176ae	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr19.matched.tsv.gz	792	0e9b23aa0646f9a6d35ff022ad2aa71a758fa7879c122488df112f886538df6d	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr19.hard.tsv.gz	51609	3487fcaa888e49f0b4562f36ce671f1b6d0f1a474936092ef2a85c52f5457234	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr2.tsv.gz	127102	01427849c8c6fd64fa3bf6699c36b3dd9fccb2177c1526e38ee88bb9659b5d6e	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr2.matched.tsv.gz	853	bdf20e47500ba0c9401311766bf108ec9f38844213c0f0d2818af470342ecb85	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr2.hard.tsv.gz	60382	1b9aafadf5f4a3746c1b08061f78896ecac3e24e209f3e5237508d41f733eff1	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr20.tsv.gz	59915	cb92e128b8a19ec8e0364c506ca2d68d8671a80ca649f15fa3fba563d8bb302d	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr20.matched.tsv.gz	494	be442d201b71a950896c74ba814beb417e07ac7c68d5da50638e1f8a042304fd	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr20.hard.tsv.gz	26991	7979cb305af6ca0904e2fcb0d7c1802409efeecab6c7e8f7f3f766599cd637bb	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr21.tsv.gz	19365	909e747184faeb5b97f7bb0f43edc5a3c1ba3aeed6227d81e6f5e1bd9ca3c414	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr21.matched.tsv.gz	126	fe00bf86a68cf7c44784af39825255767645725bc9735a30eb8fe1093608b077	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr21.hard.tsv.gz	9089	6c4781bc99b75999ea3e280680cbc4fdae0081c4dc0ee52d2e9c43fe4fadc165	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr22.tsv.gz	57459	df5cd9c39ea7493f7abf951739383d83f8e22e91f4a16a86201dccf2a49629be	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr22.matched.tsv.gz	388	c621838efe99820a910fb76f2c2df5b7770b9c66962e56d41c587c54c43cf44e	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr22.hard.tsv.gz	25076	5438c48deebbc0c7535bb7c77c9c773975f7b58f08a2aeb71631a91ecab1393e	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr3.tsv.gz	104622	53db53da57735d886396b7535551a95d20403e38706f4711bc1d12969b4cf049	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr3.matched.tsv.gz	761	60e54a196491bb55868031922d9e9c993ec3a1366b5af2b95415f35857488a2e	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr3.hard.tsv.gz	49990	276df480a91d015dae4654e4e182c9ec1740bdcfac29fd1d1ba421653872c86c	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr4.tsv.gz	58515	425be057a9218efcc3e7f75e7090e08368becf2b176aefa2685aa481cc2d2683	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr4.matched.tsv.gz	341	4fa9597b25b4c98d631f6c64879ee3b3d9d9fd0ef16684c343145807c82832f1	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr4.hard.tsv.gz	28515	c7d40f6d38de1ed451f3956a394fc742263395d22a6883b97c4fd0f32d343169	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr5.tsv.gz	92552	afa9458edfa2df33f69ced8c3ada7893b844659d91cd5036db1162a946f3a8fb	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr5.matched.tsv.gz	691	60720331572853f1e46473fc7d0e20f8cc172d4e98072971f61af82c4dd99808	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr5.hard.tsv.gz	43316	8a4889d96f79523b99d834a478c693b70ac0dc7eb1cd14581a8ac4a99ee07199	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr6.tsv.gz	95063	e8150af64c52127bf64b5c9d416f475d748bcddf84eb494fb9db48d260a2f2e3	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr6.matched.tsv.gz	741	f712224dd21267cfef6d3f6c5e40482d80bd0283566d43d9b63a88f179dca5df	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr6.hard.tsv.gz	44096	feaf068b6ae4d7f21a27c931d09f826c5e8164d714acb572d419021fecf7781e	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr7.tsv.gz	92739	06ae19c6bf7e2323b211f470658f6b0d511519e1116a69b52e1c67728cc206c0	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr7.matched.tsv.gz	649	81f3cbb6ead1988354167669e62775cdc8d3a783fff7fdfaa7299b1690965451	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr7.hard.tsv.gz	43023	ab865b5df7b46144cc18fd686df77f0b615b1589352589d227d184ce82fcadf0	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr8.tsv.gz	58939	3e15824cab4b9ecd7045618b3019a132491cb8953ae00b66d988a45fe161148f	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr8.matched.tsv.gz	386	b4fdfd577fb5082dce5997c02d63b30f6a2f5af309f17c61545788ad375668b5	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr8.hard.tsv.gz	28117	cd4460d51fc3f41e70435ca0ff1df4e1a401ac889871e1c1aac0a6cbfb29f351	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr9.tsv.gz	80015	879e118f61e9f8129af1b089418061178dd40eebb04aa53574885fa78ae3772d	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr9.matched.tsv.gz	535	81f1ac23a05d403a5c6bfb8d009a79cc589e2419eec39fac8277d8be03b8ae04	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chr9.hard.tsv.gz	36809	33d60832cdc550e392d687908add54d5a7c65f4195adbe4474119d85a687b8ab	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chrM.tsv.gz	94	4a01b83d403f1cbbbafd1a6cd861e154ddb129b33d2a4404465002a11b0ceea0	all train-split strict computational negatives; dynamic sampling without replacement per draw
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chrM.hard.tsv.gz	43	7b9c5b6405e4a24b875a122ebf40f2ff646fd0c9a368c33f29f7d9747182c393	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chrX.tsv.gz	71558	398cd521c130f7474fc16eabcf45125e233f7cd401f5272065a8f27d187cea49	all train-split strict computational negatives; dynamic sampling without replacement per draw
matched_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chrX.matched.tsv.gz	39	d17a2cd333f263e59506806202ed28fb6e4b62d0b6f1c3272bf033ed9fb96c3e	exact bin match on site depth,gene-level coverage proxy,GC,5-mer,region,mappability status,chromosome class to train positives
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chrX.hard.tsv.gz	33321	1c1dfec7066ff3d9f49cf841c6807bb26e9c1f468315c86262238f5adf80fd7b	train strict negatives sharing center 5-mer with train positives; test never mined
random_strict_all	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chrY.tsv.gz	20	149e2e450131d3f14a82bb6e27aee92b31c1496e21a6a9ebd5e5c3fecba9647f	all train-split strict computational negatives; dynamic sampling without replacement per draw
hard_strict	${LAMAR_WORK_ROOT}/lamar_binary_dataset/run_20260721T231520Z/train_negative_pool/chrY.hard.tsv.gz	10	9cfe040f23d3ff878f0fbad2ba989f5f219dcca01db0fdbb331f1f43d7b03e50	train strict negatives sharing center 5-mer with train positives; test never mined
